rule_id	path	expected_count	removal_phase	rationale
editor-state-v1	editor/src/shared/project-schema/editor-project-state.ts	4	3	V1 schema and migration remain active.
local-session-migration	editor/src/renderer/workbench/local-editor-session-store.ts	2	3	Persisted shell state migrates the retired root field.
legacy-export-identity	editor/src/main/services/editor-tool-service.ts	2	3	Project open extracts legacy identity.
legacy-export-identity	editor/src/renderer/test/editor-project-state.test.ts	4	3	Legacy identity migration tests remain until Phase 3.
legacy-export-identity	editor/src/renderer/test/package-export-workflow.test.ts	1	3	Legacy field absence assertion remains until Phase 3.
legacy-export-identity	editor/src/shared/project-schema/editor-project-state.ts	3	3	Metadata helper reads and strips legacy identity.
authoring-shader-union	editor/src/shared/project-schema/authoring-shaders.ts	3	5	Authoring Shader output accepts string and object forms.
runtime-shader-union	editor/src/shared/project-schema/shader-material-project.ts	1	7	Runtime role schema accepts array and object forms.
runtime-shader-union	engine/src/render/material_codec.cpp	1	6	Native runtime Shader decoder accepts string compiled outputs.
wire-optional-sampling	editor/src/shared/project-schema/compiled-project.ts	1	4	Compiled image sampling is optional.
wire-optional-sampling	editor/src/shared/focused-preview-contracts.ts	2	4	Focused preview image sampling is optional.
